"Red","Green","Blue","Alpha","Distance"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","70.47228645089027"
"52","82","58","64","70.47228645089027"
"52","82","58","64","70.47228645089027"
"52","82","58","64","70.47228645089027"
"52","82","58","64","70.47228645089027"
"52","82","58","64","70.47228645089027"
"52","82","58","64","70.47228645089027"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","67.47969827375638"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"53","82","58","64","69.23896437700756"
"53","82","58","64","69.23896437700756"
"53","82","58","64","69.23896437700756"
"53","82","58","64","69.23896437700756"
"53","82","58","64","69.23896437700756"
"53","82","58","64","69.23896437700756"
"53","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","71.10827981455259"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","71.75773159760095"
"52","82","58","64","71.75773159760095"
"52","82","58","64","71.75773159760095"
"52","82","58","64","71.75773159760095"
"52","82","58","64","71.75773159760095"
"52","82","58","64","71.75773159760095"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","69.23896437700756"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"53","82","58","64","68.64082610924811"
"53","82","58","64","68.64082610924811"
"53","82","58","64","68.64082610924811"
"53","82","58","64","68.64082610924811"
"53","82","58","64","68.64082610924811"
"53","82","58","64","66.91599706546374"
"53","82","58","64","66.91599706546374"
"52","82","58","64","66.91599706546374"
"52","82","58","64","66.91599706546374"
"52","82","58","64","66.91599706546374"
"52","82","58","64","66.91599706546374"
"52","82","58","64","66.91599706546374"
"52","82","58","64","66.91599706546374"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","83","60","65","68.05452518601996"
"53","83","60","65","68.05452518601996"
"53","83","60","65","68.05452518601996"
"53","83","60","65","68.05452518601996"
"53","83","60","65","68.05452518601996"
"53","83","60","65","68.05452518601996"
"53","83","60","65","69.84931917968377"
"53","83","60","65","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","69.84931917968377"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.05452518601996"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
"52","82","58","64","68.64082610924811"
